2025-05-30 16:40:13,993 - INFO - Starting Procify application
2025-05-30 16:40:13,994 - INFO - Initializing ProcessVisualizer
2025-05-30 16:40:14,561 - INFO - Starting process visualization
2025-05-30 16:40:22,421 - INFO - Initial process node created - PID: 1140, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:22,534 - INFO - Initial process node created - PID: 10868, Name: ADNotificationManager.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:22,647 - INFO - Initial process node created - PID: 11892, Name: GWIdlMon.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:22,790 - INFO - Initial process node created - PID: 13428, Name: ServiceShell.exe, Memory: 0.5%, CPU: 0.0%
2025-05-30 16:40:22,936 - INFO - Initial process node created - PID: 2680, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:23,092 - INFO - Initial process node created - PID: 6780, Name: Dell.CoreServices.Client.exe, Memory: 0.8%, CPU: 0.0%
2025-05-30 16:40:23,252 - INFO - Initial process node created - PID: 8316, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:23,378 - INFO - Initial process node created - PID: 11900, Name: conhost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:23,501 - INFO - Initial process node created - PID: 10368, Name: SDXHelper.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:23,624 - INFO - Initial process node created - PID: 2180, Name: dllhost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:23,790 - INFO - Initial process node created - PID: 4228, Name: dasHost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:23,949 - INFO - Initial process node created - PID: 7812, Name: SearchIndexer.exe, Memory: 0.2%, CPU: 0.0%
2025-05-30 16:40:24,079 - INFO - Initial process node created - PID: 648, Name: svchost.exe, Memory: 0.2%, CPU: 0.0%
