2025-05-27 16:46:19,940 - INFO - Starting Procify application
2025-05-27 16:46:19,940 - INFO - Initializing ProcessVisualizer
2025-05-27 16:46:20,335 - INFO - ProcessVisualizer initialized with window size: 1200x800
2025-05-27 16:46:20,409 - INFO - Starting process visualization
2025-05-27 16:46:20,594 - INFO - Initial process node created - PID: 0, Name: System Idle Process, Parent PID: 0
2025-05-27 16:46:20,640 - INFO - Initial process node created - PID: 4, Name: System, Parent PID: 0
2025-05-27 16:46:20,682 - INFO - Initial process node created - PID: 8, Name: WUDFHost.exe, Parent PID: 828
2025-05-27 16:46:20,718 - INFO - Initial process node created - PID: 100, Name: Registry, Parent PID: 4
2025-05-27 16:46:20,753 - INFO - Initial process node created - PID: 560, Name: fontdrvhost.exe, Parent PID: 756
2025-05-27 16:46:20,784 - INFO - Initial process node created - PID: 576, Name: smss.exe, Parent PID: 4
2025-05-27 16:46:20,816 - INFO - Initial process node created - PID: 596, Name: svchost.exe, Parent PID: 828
2025-05-27 16:46:20,824 - INFO - Initial process node created - PID: 648, Name: svchost.exe, Parent PID: 828
2025-05-27 16:46:20,852 - INFO - Initial process node created - PID: 664, Name: csrss.exe, Parent PID: 652
2025-05-27 16:46:20,877 - INFO - Initial process node created - PID: 692, Name: fontdrvhost.exe, Parent PID: 892
2025-05-27 16:46:20,904 - INFO - Initial process node created - PID: 756, Name: wininit.exe, Parent PID: 652
2025-05-27 16:46:20,934 - INFO - Initial process node created - PID: 764, Name: csrss.exe, Parent PID: 748
2025-05-27 16:46:20,942 - INFO - Initial process node created - PID: 776, Name: TextInputHost.exe, Parent PID: 596
2025-05-27 16:46:20,953 - INFO - Initial process node created - PID: 792, Name: Cursor.exe, Parent PID: 1136
2025-05-27 16:46:20,981 - INFO - Initial process node created - PID: 828, Name: services.exe, Parent PID: 756
2025-05-27 16:46:21,008 - INFO - Initial process node created - PID: 876, Name: lsass.exe, Parent PID: 756
2025-05-27 16:46:21,035 - INFO - Initial process node created - PID: 892, Name: winlogon.exe, Parent PID: 748
2025-05-27 16:46:21,063 - INFO - Initial process node created - PID: 1092, Name: svchost.exe, Parent PID: 828
2025-05-27 16:46:21,092 - INFO - Initial process node created - PID: 1112, Name: svchost.exe, Parent PID: 828
2025-05-27 16:46:21,103 - INFO - Initial process node created - PID: 1136, Name: Cursor.exe, Parent PID: 8840
